item-code-padded	cont-disp
V99F	N
0001A	N
0013Q	N
0015T	N
0019B	N
0022E	N
0023F	N
0029M	N
0030N	N
0034T	N
0039C	N
0040D	N
0041E	N
0042F	N
0043G	N
0044H	N
0045J	N
0048M	N
0049N	N
0052R	N
0063H	N
0064J	N
0065K	N
0066L	N
1003T	Y
1004W	Y
1007B	Y
1011F	Y
1012G	Y
1013H	Y
1016L	Y
1034K	Y
1052J	Y
1062X	Y
1070H	Y
1081X	Y
1088G	Y
1089H	Y
1090J	Y
1093M	Y
1095P	Y
1103C	Y
1104D	Y
1109J	Y
1110K	Y
1115Q	Y
1119X	Y
1121B	Y
1128J	Y
1131M	Y
1147J	Y
1148K	Y
1149L	Y
1153Q	Y
1158Y	Y
1163F	Y
1165H	Y
1166J	Y
1169M	Y
1180D	Y
1182F	Y
1183G	Y
1192R	Y
1195X	Y
1196Y	Y
1197B	Y
1199D	Y
1201F	Y
1204J	Y
1206L	Y
1207M	Y
1208N	Y
1209P	Y
1210Q	Y
1211R	Y
1214X	Y
1215Y	Y
1217C	Y
1220F	Y
1221G	Y
1229Q	Y
1233X	Y
1241H	Y
1242J	Y
1245M	Y
1246N	Y
1247P	Y
1248Q	Y
1249R	Y
1250T	Y
1255C	Y
1256D	Y
1258F	Y
1259G	Y
1260H	Y
1263L	Y
1266P	Y
1269T	Y
1270W	Y
1272Y	Y
1279H	Y
1288T	Y
1292B	Y
1296F	Y
1299J	Y
1300K	Y
1302M	Y
1304P	N
1308W	N
1309X	Y
1312C	Y
1313D	Y
1316G	Y
1322N	Y
1324Q	Y
1325R	Y
1326T	Y
1327W	Y
1330B	Y
1335G	Y
1347X	Y
1354G	Y
1356J	Y
1357K	Y
1358L	Y
1368B	Y
1369C	Y
1370D	Y
1381Q	Y
1382R	Y
1389D	Y
1392G	Y
1394J	Y
1396L	Y
1404X	Y
1413J	Y
1414K	Y
1415L	Y
1416M	Y
1417N	Y
1418P	Y
1419Q	N
1423X	N
1426C	Y
1433K	Y
1434L	Y
1437P	Y
1438Q	Y
1440T	Y
1441W	Y
1443Y	Y
1444B	Y
1449G	Y
1453L	Y
1454M	Y
1456P	Y
1460W	Y
1463B	Y
1464C	N
1466E	Y
1471K	Y
1472L	Y
1475P	Y
1476Q	N
1478T	Y
1479W	Y
1480X	Y
1481Y	N
1482B	N
1484D	Y
1486F	Y
1499X	Y
1500Y	Y
1501B	Y
1502C	Y
1504E	Y
1505F	Y
1509K	Y
1510L	Y
1511M	Y
1512N	Y
1515R	Y
1516T	Y
1521C	Y
1525G	Y
1526H	Y
1527J	Y
1531N	Y
1533Q	Y
1542E	Y
1545H	Y
1546J	Y
1547K	Y
1548L	Y
1554T	Y
1555W	Y
1558B	Y
1561E	Y
1566K	Y
1567L	Y
1571Q	Y
1574W	Y
1585K	Y
1590Q	Y
1594X	Y
1595Y	Y
1598D	Y
1606M	Y
1609Q	Y
1610R	Y
1611T	Y
1614Y	Y
1615B	Y
1616C	Y
1621H	Y
1622J	Y
1623K	Y
1627P	Y
1628Q	Y
1629R	Y
1630T	Y
1636D	Y
1639G	Y
1640H	Y
1642K	Y
1644M	Y
1645N	Y
1646P	Y
1647Q	Y
1653B	Y
1654C	Y
1655D	Y
1656E	Y
1658G	Y
1659H	Y
1663M	Y
1664N	Y
1674D	Y
1692C	Y
1693D	Y
1694E	Y
1695F	Y
1696G	Y
1699K	Y
1703P	Y
1704Q	Y
1705R	Y
1706T	Y
1724R	Y
1728Y	Y
1746X	Y
1747Y	Y
1750D	Y
1754H	Y
1757L	Y
1758M	Y
1759N	Y
1760P	Y
1761Q	Y
1762R	Y
1763T	Y
1768C	Y
1769D	Y
1770E	Y
1771F	Y
1775K	Y
1779P	Y
1780Q	Y
1781R	Y
1783W	Y
1784X	Y
1785Y	Y
1787C	Y
1788D	Y
1789E	Y
1794K	Y
1795L	Y
1797N	Y
1799Q	Y
1800R	Y
1801T	Y
1805B	Y
1806C	Y
1807D	Y
1808E	Y
1810G	Y
1818Q	Y
1822X	Y
1824B	Y
1834M	Y
1835N	Y
1836P	Y
1837Q	N
1839T	N
1841X	Y
1842Y	Y
1846E	Y
1849H	Y
1850J	Y
1862B	Y
1873N	Y
1874P	Y
1880Y	Y
1884E	Y
1886G	Y
1887H	Y
1888J	Y
1889K	Y
1891M	Y
1892N	Y
1895R	Y
1896T	Y
1897W	Y
1898X	Y
1899Y	N
1900B	Y
1904F	N
1905G	Y
1906H	Y
1907J	Y
1909L	Y
1913Q	Y
1914R	Y
1915T	Y
1916W	Y
1917X	Y
1920C	Y
1921D	Y
1926J	Y
1928L	Y
1934T	Y
1935W	Y
1936X	Y
1938B	Y
1939C	Y
1940D	Y
1944H	Y
1945J	Y
1946K	Y
1948M	Y
1952R	Y
1953T	Y
1954W	Y
1955X	Y
1956Y	Y
1959D	Y
1963H	Y
1964J	Y
1967M	Y
1968N	Y
1969P	Y
1970Q	Y
1973W	Y
1975Y	Y
1976B	Y
1977C	Y
1978D	Y
1981G	Y
1982H	Y
1983J	Y
1984K	Y
2000G	Y
2001H	Y
2002J	Y
2008Q	N
2011W	Y
2012X	Y
2013Y	Y
2015C	N
2019G	Y
2020H	Y
2022K	Y
2027Q	Y
2029T	Y
2030W	Y
2036E	N
2038G	N
2043M	Y
2055E	Y
2062M	Y
2065Q	Y
2066R	Y
2070Y	Y
2071B	Y
2072C	Y
2088X	Y
2089Y	Y
2091C	Y
2093E	Y
2096H	Y
2099L	Y
2100M	Y
2109B	Y
2110C	Y
2115H	Y
2117K	Y
2118L	Y
2122Q	Y
2123R	Y
2124T	Y
2129C	Y
2136K	Y
2138M	Y
2142R	Y
2147B	Y
2148C	Y
2150E	Y
2160Q	Y
2161R	Y
2162T	Y
2166B	Y
2167C	Y
2168D	Y
2170F	Y
2171G	Y
2172H	Y
2173J	Y
2174K	Y
2175L	Y
2180R	Y
2181T	Y
