GE!1418P!AP!!39401000036106!ticagrelor!35461000036107!ticagrelor 90 mg tablet, 56!Brilinta!35451000036109!Brilinta 90 mg tablet, 56!!56!114.52!114.52!
GE!1505F!AF!!21421011000036109!nizatidine!28206011000036101!nizatidine 150 mg capsule, 60!Tacidine!14089011000036100!Tacidine 150 mg capsule, 60!!60!9.71!9.71!0.00
GE!1505F!RW!!21421011000036109!nizatidine!28206011000036101!nizatidine 150 mg capsule, 60!Tazac!12591011000036105!Tazac Pulvule 150 mg capsule, 60!!60!9.71!15.86!
GE!1505F!RF!!21421011000036109!nizatidine!28206011000036101!nizatidine 150 mg capsule, 60!Nizac!14199011000036105!Nizac 150 mg capsule, 60!!60!9.71!9.71!0.00
GE!1891M!AS!!21360011000036101!amoxicillin + clavulanic acid!28153011000036101!amoxicillin 500 mg + clavulanic acid 125 mg tablet, 10!Augmentin Duo!13460011000036103!Augmentin Duo 500/125 tablet, 10!!10!2.30!6.83!
GE!1891M!EA!!21360011000036101!amoxicillin + clavulanic acid!28153011000036101!amoxicillin 500 mg + clavulanic acid 125 mg tablet, 10!Amoxyclav AN 500/125!662151000168102!Amoxiclav 500/125 (AN) tablet, 10!!10!2.30!2.30!0.00
GE!1891M!ED!!21360011000036101!amoxicillin + clavulanic acid!28153011000036101!amoxicillin 500 mg + clavulanic acid 125 mg tablet, 10!AMOXICLAV AMNEAL 500/125!1044541000168104!Amoxiclav 500/125 (Amneal) tablet, 10!!10!2.30!2.30!0.00
GE!1891M!SZ!!21360011000036101!amoxicillin + clavulanic acid!28153011000036101!amoxicillin 500 mg + clavulanic acid 125 mg tablet, 10!Curam Duo 500/125!13888011000036109!Curam Duo 500/125 tablet, 10!!10!2.30!2.30!0.00
GE!1891M!RW!!21360011000036101!amoxicillin + clavulanic acid!28153011000036101!amoxicillin 500 mg + clavulanic acid 125 mg tablet, 10!AMCLAVOX DUO 500/125!1024671000168108!Amclavox Duo 500/125 tablet, 10!!10!2.30!2.30!0.00
GE!1891M!AF!!21360011000036101!amoxicillin + clavulanic acid!28153011000036101!amoxicillin 500 mg + clavulanic acid 125 mg tablet, 10!AlphaClav Duo!737001000168100!Alphaclav Duo 500/125 tablet, 10!!10!2.30!2.30!0.00
GE!1891M!TX!!21360011000036101!amoxicillin + clavulanic acid!28153011000036101!amoxicillin 500 mg + clavulanic acid 125 mg tablet, 10!APO-Amoxycillin/ Clavulanic Acid 500/125!78866011000036104!Amoxycillin and Clavulanic Acid 500/125 (Apo) tablet, 10!!10!2.30!2.30!0.00
GE!1891M!TY!!21360011000036101!amoxicillin + clavulanic acid!28153011000036101!amoxicillin 500 mg + clavulanic acid 125 mg tablet, 10!Amoxycillin/Clavulanic Acid 500/125 APOTEX!1417481000168101!Amoxycillin/Clavulanic Acid 500/125 (Apotex) tablet, 10!!10!2.30!2.30!0.00
GE!1478T!PF!!21544011000036104!prazosin!27729011000036100!prazosin 5 mg tablet, 100!Minipress!11380011000036100!Minipress 5 mg tablet, 100!!100!9.82!9.82!
GE!1478T!TX!!21544011000036104!prazosin!27729011000036100!prazosin 5 mg tablet, 100!APO-Prazosin!8961000036101!Prazosin (Apo) 5 mg tablet, 100!!100!9.82!9.82!
GE!1444B!SZ!!21300011000036100!bromocriptine!27287011000036107!bromocriptine 2.5 mg tablet, 30!Parlodel!11975011000036108!Parlodel 2.5 mg tablet, 30!!30!10.11!10.11!
GE!1880Y!AP!!21494011000036103!tamoxifen!26647011000036104!tamoxifen 20 mg tablet, 30!Nolvadex-D!11439011000036106!Nolvadex-D 20 mg tablet, 30!!60!7.22!7.22!
GE!1884E!SZ!!21415011000036100!amoxicillin!28236011000036109!amoxicillin 250 mg capsule, 20!Amoxycillin Sandoz!74369011000036107!Amoxycillin (Sandoz) 250 mg capsule, 20!!20!1.37!1.37!0.00
GE!1884E!AS!!21415011000036100!amoxicillin!28236011000036109!amoxicillin 250 mg capsule, 20!Amoxil!12809011000036105!Amoxil 250 mg capsule, 20!!20!1.37!4.61!
GE!1884E!EA!!21415011000036100!amoxicillin!28236011000036109!amoxicillin 250 mg capsule, 20!Amoxycillin AN!660701000168103!Amoxycillin (AN) 250 mg capsule, 20!!20!1.37!1.37!0.00
GE!1884E!TX!!21415011000036100!amoxicillin!28236011000036109!amoxicillin 250 mg capsule, 20!APO-Amoxycillin!41424011000036105!Amoxycillin (Apo) 250 mg capsule, 20!!20!1.37!1.37!0.00
GE!1884E!RF!!21415011000036100!amoxicillin!28236011000036109!amoxicillin 250 mg capsule, 20!AMILOXYN!1311971000168106!Amiloxyn 250 mg capsule, 20!!20!1.37!1.37!0.00
GE!1884E!AF!!21415011000036100!amoxicillin!28236011000036109!amoxicillin 250 mg capsule, 20!Alphamox 250!12144011000036106!Alphamox 250 mg capsule, 20!!20!1.37!1.37!0.00
GE!1884E!AL!!21415011000036100!amoxicillin!28236011000036109!amoxicillin 250 mg capsule, 20!Cilamox!12791011000036106!Cilamox 250 mg capsule, 20!!20!1.37!1.37!0.00
GE!1472L!AF!!21365011000036105!fluconazole!28191011000036106!fluconazole 100 mg capsule, 28!Dizole 100!14175011000036102!Dizole 100 mg capsule, 28!!28!19.27!19.27!
GE!1472L!PF!!21365011000036105!fluconazole!28191011000036106!fluconazole 100 mg capsule, 28!Diflucan!12563011000036109!Diflucan 100 mg capsule, 28!!28!19.27!19.27!
GE!1472L!RA!!21365011000036105!fluconazole!28191011000036106!fluconazole 100 mg capsule, 28!Ozole!11725011000036100!Ozole 100 mg capsule, 28!!28!19.27!19.27!
GE!1472L!SZ!!21365011000036105!fluconazole!28191011000036106!fluconazole 100 mg capsule, 28!Fluconazole Sandoz!920350011000036101!Fluconazole (Sandoz) 100 mg capsule, 28!!28!19.27!19.27!
GE!1598D!AS!!21818011000036102!mercaptopurine!845441000168102!mercaptopurine monohydrate 50 mg tablet, 25!Purinethol!845451000168100!Puri-Nethol 50 mg tablet, 25!!100!40.15!40.15!
GE!1598D!LM!!21818011000036102!mercaptopurine!845441000168102!mercaptopurine monohydrate 50 mg tablet, 25!MERCAPTOPURINE-LINK!1372841000168108!Mercaptopurine (Link) 50 mg tablet, 25!!100!40.15!40.15!
GE!1615B!IY!!21304011000036105!naproxen!27176011000036100!naproxen 1 g modified release tablet, 28!Proxen SR 1000!12529011000036103!Proxen SR 1 g modified release tablet, 28!!28!6.10!6.10!0.00
GE!1615B!IX!!21304011000036105!naproxen!27176011000036100!naproxen 1 g modified release tablet, 28!Naprosyn SR1000!11237011000036100!Naprosyn SR 1000 1 g modified release tablet, 28!!28!6.10!7.14!
GE!1270W!HX!!21694011000036101!cyproterone!27797011000036104!cyproterone acetate 50 mg tablet, 50!Cyproterone Sandoz!89481000036106!Cyproterone Acetate (Sandoz) 50 mg tablet, 50!!100!33.30!33.30!0.00
GE!1270W!AS!!21694011000036101!cyproterone!27797011000036104!cyproterone acetate 50 mg tablet, 50!Cyprocur 50!59161000036104!Cyprocur 50 mg tablet, 50!!100!33.30!33.30!0.00
GE!1270W!TX!!21694011000036101!cyproterone!27797011000036104!cyproterone acetate 50 mg tablet, 50!APO-Cyproterone!1277331000168102!Cyproterone Acetate (Apo) 50 mg tablet, 50!!100!33.30!33.30!0.00
GE!1270W!GX!!21694011000036101!cyproterone!27797011000036104!cyproterone acetate 50 mg tablet, 50!GenRx Cyproterone Acetate!11215011000036102!Cyproterone Acetate (GenRx) 50 mg tablet, 50!!100!33.30!33.30!0.00
GE!1270W!BN!!21694011000036101!cyproterone!27797011000036104!cyproterone acetate 50 mg tablet, 50!Androcur!11342011000036106!Androcur 50 mg tablet, 50!!100!33.30!34.36!
GE!1270W!CR!!21694011000036101!cyproterone!27797011000036104!cyproterone acetate 50 mg tablet, 50!Pharmacor Cyproterone 50!1203771000168103!Cyproterone (Pharmacor) 50 mg tablet, 50!!100!33.30!33.30!0.00
GE!1270W!AL!!21694011000036101!cyproterone!27797011000036104!cyproterone acetate 50 mg tablet, 50!Cyprone 50!447031000144107!Cyprone-50 50 mg uncoated tablet, 50!!100!33.30!33.30!0.00
GE!1270W!RW!!21694011000036101!cyproterone!27797011000036104!cyproterone acetate 50 mg tablet, 50!ANTERONE 50!871131000168103!Anterone 50 mg tablet, 50!!100!33.30!33.30!0.00
GE!1270W!EA!!21694011000036101!cyproterone!27797011000036104!cyproterone acetate 50 mg tablet, 50!Cyproterone AN!655731000168107!Cyproterone Acetate (AN) 50 mg tablet, 50!!100!33.30!33.30!0.00
GE!1394J!EA!!21428011000036100!levonorgestrel + ethinylestradiol!27071011000036102!levonorgestrel 150 microgram + ethinylestradiol 30 microgram tablet [21] (&) inert substance tablet [7], 4 x 28!Eleanor 150/30 ED!682411000168106!Eleanor 150/30 ED (21 x 150 microgram/30 microgram tablets, 7 x inert tablets), 4 x 28!!4!5.68!5.68!0.00
GE!1394J!SY!!21428011000036100!levonorgestrel + ethinylestradiol!27071011000036102!levonorgestrel 150 microgram + ethinylestradiol 30 microgram tablet [21] (&) inert substance tablet [7], 4 x 28!Levlen ED!12350011000036105!Levlen ED (21 x 150 microgram/30 microgram tablets, 7 x inert tablets), 4 x 28!!4!5.68!9.37!
GE!1394J!GQ!!21428011000036100!levonorgestrel + ethinylestradiol!27071011000036102!levonorgestrel 150 microgram + ethinylestradiol 30 microgram tablet [21] (&) inert substance tablet [7], 4 x 28!Evelyn 150/30 ED!662771000168107!Evelyn 150/30 ED (21 x 150 microgram/30 microgram tablets, 7 x inert tablets), 4 x 28!!4!5.68!5.68!0.00
GE!1394J!TX!!21428011000036100!levonorgestrel + ethinylestradiol!27071011000036102!levonorgestrel 150 microgram + ethinylestradiol 30 microgram tablet [21] (&) inert substance tablet [7], 4 x 28!Micronelle 30 ED!175341000036105!Micronelle 30 ED (21 x 150 microgram/30 microgram tablets, 7 x inert tablets), 4 x 28!!4!5.68!5.68!0.00
GE!1394J!AF!!21428011000036100!levonorgestrel + ethinylestradiol!27071011000036102!levonorgestrel 150 microgram + ethinylestradiol 30 microgram tablet [21] (&) inert substance tablet [7], 4 x 28!Lenest 30 ED!767931000168104!Lenest 30 ED (21 x 150 microgram/30 microgram tablets, 7 x inert tablets), 4 x 28!!4!5.68!5.68!0.00
GE!1394J!AE!!21428011000036100!levonorgestrel + ethinylestradiol!27071011000036102!levonorgestrel 150 microgram + ethinylestradiol 30 microgram tablet [21] (&) inert substance tablet [7], 4 x 28!Femme-Tab ED 30/150!101401000036105!Femme-Tab ED 30/150 (21 x 150 microgram/30 microgram tablets, 7 x inert tablets), 4 x 28!!4!5.68!5.68!0.00
GE!1394J!FZ!!21428011000036100!levonorgestrel + ethinylestradiol!27071011000036102!levonorgestrel 150 microgram + ethinylestradiol 30 microgram tablet [21] (&) inert substance tablet [7], 4 x 28!Monofeme 28!12346011000036106!Monofeme (21 x 150 microgram/30 microgram tablets, 7 x inert tablets), 4 x 28!!4!5.68!5.68!0.00
GE!1394J!PF!!21428011000036100!levonorgestrel + ethinylestradiol!27071011000036102!levonorgestrel 150 microgram + ethinylestradiol 30 microgram tablet [21] (&) inert substance tablet [7], 4 x 28!Nordette 28!39251011000036102!Nordette 28 (21 x 150 microgram/30 microgram tablets, 7 x inert tablets), 4 x 28!!4!5.68!16.43!
GE!1655D!MF!!21252011000036100!morphine!929757011000036102!morphine sulfate pentahydrate 60 mg modified release tablet, 28!MS Contin!929536011000036102!MS Contin 60 mg modified release tablet, 28!!28!37.99!37.99!
GE!1655D!RW!!21252011000036100!morphine!929757011000036102!morphine sulfate pentahydrate 60 mg modified release tablet, 28!Momex SR 60!929488011000036101!Momex SR 60 mg modified release tablet, 28!!28!37.99!37.99!
GE!1655D!TX!!21252011000036100!morphine!929757011000036102!morphine sulfate pentahydrate 60 mg modified release tablet, 28!MORPHINE MR APOTEX!933223611000036106!Morphine Sulfate MR (Apotex) 60 mg modified release tablet, 28!!28!37.99!37.99!
GE!1655D!EA!!21252011000036100!morphine!929757011000036102!morphine sulfate pentahydrate 60 mg modified release tablet, 28!Morphine MR AN!743171000168102!Morphine MR (AN) 60 mg modified release tablet, 28!!28!37.99!37.99!
GE!1655D!AF!!21252011000036100!morphine!929757011000036102!morphine sulfate pentahydrate 60 mg modified release tablet, 28!Morphine MR Mylan!1007791000168103!Morphine MR (Mylan) 60 mg modified release tablet, 28!!28!37.99!37.99!
GE!1800R!TX!!21784011000036108!doxycycline!33813011000036104!doxycycline 100 mg tablet, 21!APO-Doxycycline!918871000168100!Doxycycline (Apo) 100 mg tablet, 21!!21!4.08!4.08!0.00
GE!1201F!SW!!21310011000036102!chlorpromazine!26695011000036104!chlorpromazine hydrochloride 5 mg/mL oral liquid, 100 mL!Largactil!11573011000036101!Largactil Syrup 5 mg/mL oral liquid, 100 mL!!1!4.18!4.18!
GE!1095P!GH!!21797011000036101!auranofin!26800011000036104!auranofin 3 mg tablet, 60!Ridaura!11889011000036108!Ridaura 3 mg tablet, 60!!60!179.18!179.18!
GE!1248Q!AF!!21287011000036109!verapamil!27932011000036100!verapamil hydrochloride 40 mg tablet, 100!Anpec 40!13771011000036106!Anpec 40 mg tablet, 100!!100!4.53!4.53!
GE!1590Q!AV!!21856011000036108!ketoprofen!27096011000036104!ketoprofen 200 mg modified release capsule, 28!Oruvail SR!12390011000036100!Oruvail SR 200 mg modified release capsule, 28!!28!10.26!10.26!0.00
GE!1590Q!SW!!21856011000036108!ketoprofen!27096011000036104!ketoprofen 200 mg modified release capsule, 28!Orudis SR 200!12258011000036104!Orudis SR 200 mg modified release capsule, 28!!28!10.26!12.04!
GE!1636D!SW!!21482011000036106!metronidazole!27574011000036101!metronidazole 200 mg tablet, 21!Flagyl!12248011000036101!Flagyl 200 mg tablet, 21!!21!1.18!3.04!
GE!1636D!AF!!21482011000036106!metronidazole!27574011000036101!metronidazole 200 mg tablet, 21!Metrogyl 200!12138011000036103!Metrogyl 200 mg tablet, 21!!21!1.18!1.18!0.00
GE!1636D!AV!!21482011000036106!metronidazole!27574011000036101!metronidazole 200 mg tablet, 21!Metronide 200!13136011000036108!Metronide 200 mg tablet, 21!!21!1.18!1.18!0.00
GE!1326T!RW!!21676011000036101!omeprazole!716171000168103!omeprazole 20 mg enteric capsule, 30!Pemzo!716711000168105!Pemzo 20 mg enteric capsule, 30!!30!4.12!4.12!0.00
GE!1326T!AF!!21676011000036101!omeprazole!716171000168103!omeprazole 20 mg enteric capsule, 30!Maxor!80101000036100!Maxor 20 mg enteric capsule, 30!!30!4.12!4.12!0.00
GE!1326T!HX!!21676011000036101!omeprazole!716171000168103!omeprazole 20 mg enteric capsule, 30!Omeprazole Sandoz!716181000168100!Omeprazole (Sandoz) 20 mg enteric capsule, 30!!30!4.12!4.12!0.00
GE!1326T!TX!!21676011000036101!omeprazole!716171000168103!omeprazole 20 mg enteric capsule, 30!APO-Omeprazole!717541000168102!Omeprazole (Apo) 20 mg enteric capsule, 30!!30!4.12!4.12!0.00
GE!1326T!SZ!!21676011000036101!omeprazole!716171000168103!omeprazole 20 mg enteric capsule, 30!Probitor!717711000168107!Probitor 20 mg enteric capsule, 30!!30!4.12!4.12!0.00
GE!1326T!CR!!21676011000036101!omeprazole!716171000168103!omeprazole 20 mg enteric capsule, 30!Pharmacor Omeprazole 20!717221000168105!Omeprazole (Pharmacor) 20 mg enteric capsule, 30!!30!4.12!4.12!0.00
GE!1653B!RW!!21252011000036100!morphine!929749011000036106!morphine sulfate pentahydrate 10 mg modified release tablet, 28!Momex SR 10!929486011000036100!Momex SR 10 mg modified release tablet, 28!!28!8.83!8.83!
GE!1653B!AF!!21252011000036100!morphine!929749011000036106!morphine sulfate pentahydrate 10 mg modified release tablet, 28!Morphine MR Mylan!1007281000168109!Morphine MR (Mylan) 10 mg modified release tablet, 28!!28!8.83!8.83!
GE!1653B!TX!!21252011000036100!morphine!929749011000036106!morphine sulfate pentahydrate 10 mg modified release tablet, 28!MORPHINE MR APOTEX!933223551000036106!Morphine Sulfate MR (Apotex) 10 mg modified release tablet, 28!!28!8.83!8.83!
GE!1653B!EA!!21252011000036100!morphine!929749011000036106!morphine sulfate pentahydrate 10 mg modified release tablet, 28!Morphine MR AN!743031000168101!Morphine MR (AN) 10 mg modified release tablet, 28!!28!8.83!8.83!
GE!1653B!MF!!21252011000036100!morphine!929749011000036106!morphine sulfate pentahydrate 10 mg modified release tablet, 28!MS Contin!929493011000036105!MS Contin 10 mg modified release tablet, 28!!28!8.83!8.83!
GE!1183G!RW!!21668011000036105!fosinopril!27149011000036108!fosinopril sodium 20 mg tablet, 30!Fosipril 20!11133011000036107!Fosipril 20 mg tablet, 30!!30!6.24!6.24!
GE!1183G!AF!!21668011000036105!fosinopril!27149011000036108!fosinopril sodium 20 mg tablet, 30!Monace 20!11243011000036105!Monace 20 mg tablet, 30!!30!6.24!6.24!
GE!1183G!TX!!21668011000036105!fosinopril!27149011000036108!fosinopril sodium 20 mg tablet, 30!APO-Fosinopril!155721000036103!Fosinopril Sodium (Apo) 20 mg tablet, 30!!30!6.24!6.24!
GE!1757L!AF!!21365011000036105!fluconazole!26788011000036103!fluconazole 400 mg/200 mL injection, 200 mL bag!Fluconazole Alphapharm!117941000144108!Fluconazole Alphapharm Solution for I.V. infusion 400 mg in 200 mL, 1!!1!3.94!3.94!
GE!1548L!SB!!50753011000036104!amino acid formula with vitamins and minerals without methionine!725141000168106!amino acid formula with vitamins and minerals without methionine oral liquid, 30 x 125 mL pouches!HCU Lophlex LQ 20!725151000168108!HCU Lophlex LQ 20 oral liquid, 30 x 125 mL pouches!!3!799.25!799.25!
GE!1443Y!SZ!!21300011000036100!bromocriptine!27287011000036107!bromocriptine 2.5 mg tablet, 30!Parlodel!11975011000036108!Parlodel 2.5 mg tablet, 30!!60!10.11!10.11!
GE!1642K!SW!!21482011000036106!metronidazole!27013011000036109!metronidazole 500 mg suppository, 10!Flagyl!12249011000036109!Flagyl 500 mg suppository, 10!!1!13.54!13.54!
GE!1119X!OQ!!21372011000036109!betamethasone dipropionate!27083011000036106!betamethasone (as dipropionate) 0.05% ointment, 15 g!Diprosone!12175011000036106!Diprosone 0.05% ointment, 15 g!!1!5.43!7.71!
GE!1119X!OV!!21372011000036109!betamethasone dipropionate!27083011000036106!betamethasone (as dipropionate) 0.05% ointment, 15 g!Eleuphrat!12374011000036102!Eleuphrat 0.05% ointment, 15 g!!1!5.43!5.43!0.00
GE!1515R!SZ!!21388011000036102!glyceryl trinitrate!27276011000036102!glyceryl trinitrate 5 mg/24 hours patch, 30!Transiderm-Nitro 25!12117011000036106!Transiderm-Nitro-25 5 mg/24 hours patch, 30!!30!15.09!15.09!
GE!1263L!AS!!21264011000036101!bisacodyl!27030011000036106!bisacodyl 10 mg/5 mL enema, 25 x 5 mL!Bisalax!12268011000036105!Bisalax Micro 10 mg/5 mL enema, 25 x 5 mL!!1!25.49!25.49!
GE!1259G!AE!!21264011000036101!bisacodyl!27705011000036106!bisacodyl 5 mg enteric tablet, 200!Lax-Tab!11603011000036102!Lax-Tab 5 mg enteric tablet, 200!!200!5.57!5.57!
GE!1245M!AL!!21326011000036107!levodopa + carbidopa!28304011000036101!levodopa 250 mg + carbidopa 25 mg tablet, 100!Sinemet!11319011000036109!Sinemet 250/25 tablet, 100!!100!23.84!29.19!
