item-code-padded	med-chart
V99F	N
0001A	N
0013Q	Y
0015T	Y
0019B	Y
0022E	Y
0023F	Y
0029M	Y
0030N	Y
0034T	Y
0039C	Y
0040D	Y
0041E	Y
0042F	Y
0043G	Y
0044H	Y
0045J	Y
0048M	Y
0049N	Y
0052R	Y
0063H	Y
0064J	Y
0065K	Y
0066L	Y
1003T	N
1004W	N
1007B	N
1011F	N
1012G	N
1013H	N
1016L	N
1034K	N
1052J	N
1062X	N
1070H	N
1081X	N
1088G	N
1089H	N
1090J	N
1093M	N
1095P	N
1103C	N
1104D	N
1109J	N
1110K	N
1115Q	N
1119X	N
1121B	N
1128J	N
1131M	N
1147J	N
1148K	N
1149L	N
1153Q	N
1158Y	N
1163F	N
1165H	Y
1166J	N
1169M	N
1180D	N
1182F	N
1183G	N
1192R	N
1195X	N
1196Y	N
1197B	N
1199D	N
1201F	N
1204J	N
1206L	N
1207M	N
1208N	N
1209P	N
1210Q	N
1211R	N
1214X	Y
1215Y	N
1217C	N
1220F	N
1221G	N
1229Q	N
1233X	N
1241H	N
1242J	N
1245M	N
1246N	N
1247P	N
1248Q	N
1249R	N
1250T	N
1255C	N
1256D	N
1258F	N
1259G	N
1260H	N
1263L	N
1266P	N
1269T	N
1270W	N
1272Y	N
1279H	N
1288T	N
1292B	N
1296F	N
1299J	N
1300K	N
1302M	N
1304P	Y
1308W	Y
1309X	N
1312C	N
1313D	N
1316G	N
1322N	N
1324Q	N
1325R	N
1326T	N
1327W	N
1330B	N
1335G	N
1347X	N
1354G	N
1356J	N
1357K	N
1358L	N
1368B	N
1369C	N
1370D	N
1381Q	N
1382R	N
1389D	N
1392G	N
1394J	N
1396L	N
1404X	N
1413J	N
1414K	N
1415L	N
1416M	N
1417N	N
1418P	N
1419Q	Y
1423X	Y
1426C	N
1433K	N
1434L	N
1437P	N
1438Q	N
1440T	N
1441W	N
1443Y	N
1444B	N
1449G	N
1453L	N
1454M	N
1456P	N
1460W	N
1463B	N
1464C	Y
1466E	N
1471K	N
1472L	N
1475P	N
1476Q	Y
1478T	N
1479W	N
1480X	N
1481Y	Y
1482B	Y
1484D	N
1486F	N
1499X	N
1500Y	N
1501B	N
1502C	N
1504E	N
1505F	N
1509K	N
1510L	N
1511M	N
1512N	N
1515R	N
1516T	N
1521C	N
1525G	N
1526H	N
1527J	N
1531N	N
1533Q	N
1542E	N
1545H	N
1546J	N
1547K	N
1548L	N
1554T	N
1555W	N
1558B	N
1561E	N
1566K	N
1567L	N
1571Q	N
1574W	N
1585K	N
1590Q	N
1594X	N
1595Y	N
1598D	N
1606M	Y
1609Q	Y
1610R	N
1611T	N
1614Y	N
1615B	N
1616C	N
1621H	N
1622J	N
1623K	N
1627P	N
1628Q	N
1629R	N
1630T	N
1636D	N
1639G	N
1640H	N
1642K	N
1644M	Y
1645N	Y
1646P	Y
1647Q	Y
1653B	Y
1654C	Y
1655D	Y
1656E	Y
1658G	N
1659H	N
1663M	N
1664N	N
1674D	N
1692C	N
1693D	N
1694E	N
1695F	N
1696G	N
1699K	N
1703P	N
1704Q	N
1705R	N
1706T	N
1724R	N
1728Y	N
1746X	N
1747Y	N
1750D	N
1754H	N
1757L	N
1758M	N
1759N	N
1760P	N
1761Q	N
1762R	N
1763T	N
1768C	N
1769D	N
1770E	N
1771F	N
1775K	N
1779P	N
1780Q	N
1781R	N
1783W	N
1784X	N
1785Y	N
1787C	N
1788D	N
1789E	N
1794K	N
1795L	N
1797N	N
1799Q	N
1800R	N
1801T	N
1805B	N
1806C	N
1807D	N
1808E	N
1810G	N
1818Q	N
1822X	N
1824B	N
1834M	N
1835N	N
1836P	N
1837Q	Y
1839T	Y
1841X	N
1842Y	N
1846E	N
1849H	N
1850J	N
1862B	N
1873N	N
1874P	N
1880Y	N
1884E	N
1886G	N
1887H	N
1888J	N
1889K	N
1891M	N
1892N	N
1895R	N
1896T	N
1897W	N
1898X	N
1899Y	Y
1900B	N
1904F	Y
1905G	N
1906H	N
1907J	N
1909L	N
1913Q	N
1914R	N
1915T	N
1916W	N
1917X	N
1920C	N
1921D	N
1926J	N
1928L	N
1934T	N
1935W	N
1936X	N
1938B	N
1939C	N
1940D	N
1944H	N
1945J	N
1946K	N
1948M	N
1952R	N
1953T	N
1954W	N
1955X	N
1956Y	N
1959D	N
1963H	N
1964J	N
1967M	N
1968N	N
1969P	N
1970Q	N
1973W	N
1975Y	N
1976B	N
1977C	N
1978D	N
1981G	N
1982H	N
1983J	N
1984K	N
2000G	N
2001H	N
2002J	N
2008Q	Y
2011W	N
2012X	N
2013Y	N
2015C	Y
2019G	N
2020H	N
2022K	N
2027Q	N
2029T	N
2030W	N
2036E	Y
2038G	Y
2043M	N
2055E	N
2062M	N
2065Q	N
2066R	N
2070Y	N
2071B	N
2072C	N
2088X	N
2089Y	N
2091C	N
2093E	N
2096H	N
2099L	N
2100M	N
2109B	N
2110C	N
2115H	N
2117K	N
2118L	N
2122Q	Y
2123R	Y
2124T	Y
2129C	N
2136K	N
2138M	N
2142R	N
2147B	N
2148C	N
2150E	N
2160Q	N
2161R	N
2162T	N
2166B	N
2167C	N
2168D	N
2170F	N
2171G	N
2172H	Y
2173J	N
2174K	N
2175L	N
2180R	N
2181T	N
2184Y	N
2190G	N
2191H	N
2193K	N
2194L	N
2201W	N
2202X	N
2208F	N
2209G	N
2211J	N
2214M	N
2222Y	N
2224C	N
2225D	N
2226E	N
2227F	N
2228G	N
2229H	N
2231K	N
2232L	N
2236Q	N
2237R	N
2240X	N
2241Y	N
2242B	N
2243C	N
2246F	N
2250K	N
2253N	N
2255Q	N
2257T	N
2267H	N
2268J	N
2269K	N
2270L	N
2272N	N
2274Q	N
2275R	N
2276T	Y
2280B	Y
2283E	Y
2285G	N
2287J	N
2289L	N
2290M	N
2293Q	N
2294R	N
2295T	N
2308L	N
2312Q	N
2313R	N
2316X	N
