item-code	SN20DR
V99F	04	N
0001A	04	N
0013Q	04	N
0015T	04	N
0019B	04	N
0022E	04	N
0023F	04	N
0029M	04	N
0030N	04	N
0034T	04	N
0039C	04	N
0040D	04	N
0041E	04	N
0042F	04	N
0043G	04	N
0044H	04	N
0045J	04	N
0048M	04	N
0049N	04	N
0052R	04	N
0063H	04	N
0064J	04	N
0065K	04	N
0066L	04	N
1003T	04	N
1004W	04	N
1007B	20	Y
1011F	04	N
1012G	04	N
1013H	04	N
1016L	04	N
1034K	04	N
1052J	04	N
1062X	04	N
1070H	04	N
1081X	20	Y
1088G	20	N
1089H	04	N
1090J	20	N
1093M	04	N
1095P	20	Y
1103C	20	N
1104D	04	N
1109J	20	Y
1110K	20	Y
1115Q	04	N
1119X	04	N
1121B	04	N
1128J	04	N
1131M	04	N
1147J	20	Y
1148K	20	Y
1149L	20	Y
1153Q	04	N
1158Y	20	Y
1163F	04	N
1165H	20	N
1166J	20	N
1169M	04	N
1180D	20	N
1182F	20	Y
1183G	20	Y
1192R	20	N
1195X	04	N
1196Y	20	N
1197B	20	N
1199D	20	N
1201F	20	N
1204J	04	N
1206L	04	N
1207M	04	N
1208N	04	N
1209P	04	N
1210Q	04	N
1211R	20	N
1214X	04	N
1215Y	04	N
1217C	04	N
1220F	04	N
1221G	20	Y
1229Q	04	N
1233X	04	N
1241H	20	Y
1242J	20	N
1245M	20	N
1246N	04	N
1247P	04	N
1248Q	20	Y
1249R	20	Y
1250T	20	Y
1255C	20	N
1256D	04	N
1258F	04	N
1259G	04	N
1260H	20	N
1263L	04	N
1266P	04	N
1269T	20	N
1270W	20	N
1272Y	20	Y
1279H	04	N
1288T	04	N
1292B	04	N
1296F	04	N
1299J	04	N
1300K	04	N
1302M	04	N
1304P	20	N
1308W	20	N
1309X	20	Y
1312C	20	Y
1313D	20	Y
1316G	20	Y
1322N	20	Y
1324Q	20	Y
1325R	20	Y
1326T	20	Y
1327W	20	Y
1330B	20	Y
1335G	20	Y
1347X	04	N
1354G	20	Y
1356J	04	N
1357K	04	N
1358L	04	N
1368B	20	Y
1369C	20	Y
1370D	20	Y
1381Q	20	Y
1382R	04	N
1389D	04	N
1392G	20	Y
1394J	20	Y
1396L	04	N
1404X	04	N
1413J	20	Y
1414K	20	N
1415L	20	Y
1416M	20	Y
1417N	20	Y
1418P	20	Y
1419Q	04	N
1423X	04	N
1426C	20	Y
1433K	20	Y
1434L	20	N
1437P	20	Y
1438Q	04	N
1440T	04	N
1441W	04	N
1443Y	20	N
1444B	04	N
1449G	04	N
1453L	20	Y
1454M	20	Y
1456P	20	Y
1460W	20	Y
1463B	20	N
1464C	04	N
1466E	20	N
1471K	20	N
1472L	20	N
1475P	20	N
1476Q	04	N
1478T	20	Y
1479W	20	Y
1480X	20	Y
1481Y	04	N
1482B	04	N
1484D	20	Y
1486F	20	Y
1499X	04	N
1500Y	04	N
1501B	04	N
1502C	04	N
1504E	20	Y
1505F	20	Y
1509K	04	N
1510L	04	N
1511M	04	N
1512N	20	Y
1515R	20	Y
1516T	20	Y
1521C	20	N
1525G	04	N
1526H	04	N
1527J	04	N
1531N	20	Y
1533Q	20	Y
1542E	20	N
1545H	20	N
1546J	20	N
1547K	20	N
1548L	20	N
1554T	04	N
1555W	04	N
1558B	20	Y
1561E	04	N
1566K	20	Y
1567L	20	Y
1571Q	04	N
1574W	04	N
1585K	04	N
1590Q	20	Y
1594X	04	N
1595Y	04	N
1598D	04	N
1606M	04	N
