mp-pt	item-code	treatment-of-code
ticagrelor	1418P	5746
fluconazole	1472L	6002
fluconazole	1472L	5978
fluconazole	1472L	6023
fluconazole	1472L	5989
fluconazole	1472L	6030
fluconazole	1472L	7898
morphine	1655D	10755
morphine	1655D	10748
morphine	1655D	10752
omeprazole	1326T	8775
omeprazole	1326T	8774
morphine	1653B	10755
morphine	1653B	10748
morphine	1653B	10752
fluconazole	1757L	6002
fluconazole	1757L	5978
fluconazole	1757L	6023
fluconazole	1757L	5989
fluconazole	1757L	6030
fluconazole	1757L	7898
tetrabenazine	1330B	5340
cyproterone	1269T	5532
loperamide	1571Q	6364
fluconazole	1471K	6002
fluconazole	1471K	5978
fluconazole	1471K	6023
fluconazole	1471K	5989
fluconazole	1471K	6030
fluconazole	1471K	7898
gabapentin	1834M	4928
ondansetron	1595Y	10498
olsalazine	1728Y	4824
gabapentin	1835N	4928
hydroxychloroquine	1512N	10419
hydroxychloroquine	1512N	10420
aciclovir	1052J	5967
aciclovir	1052J	5959
omeprazole	1327W	8780
omeprazole	1327W	8866
aciclovir	1003T	5936
flutamide	1417N	5816
naproxen	1658G	4159
naproxen	1658G	4124
methadone	1606M	10745
methadone	1606M	10747
methadone	1606M	10751
ketoconazole	1574W	6434
thiamine	1070H	5139
morphine	1656E	10755
morphine	1656E	10748
morphine	1656E	10752
fluconazole	1475P	6002
fluconazole	1475P	5978
fluconazole	1475P	6023
fluconazole	1475P	5989
fluconazole	1475P	6030
fluconazole	1475P	7898
morphine	1654C	10755
morphine	1654C	10748
morphine	1654C	10752
aciclovir	1007B	5942
methadone	1609Q	10745
methadone	1609Q	10747
methadone	1609Q	10751
risperidone	1846E	5903
risperidone	1842Y	6898
risperidone	1842Y	6899
perhexiline	1822X	5592
aciclovir	1555W	5936
ondansetron	1594X	10498
budesonide	2066R	6340
lansoprazole	2240X	8775
lansoprazole	2240X	8774
lamotrigine	2851C	5138
isotretinoin	2592K	5224
lamotrigine	2848X	5138
quinine	1975Y	5633
lamotrigine	2849Y	5138
budesonide	2065Q	6340
carmellose sodium	2338C	6172
lansoprazole	2241Y	8780
