mp-pt	item-code	manufacturer-code	pfdi
nizatidine	1505F	AF	0.00
nizatidine	1505F	RF	0.00
amoxicillin + clavulanic acid	1891M	EA	0.00
amoxicillin + clavulanic acid	1891M	ED	0.00
amoxicillin + clavulanic acid	1891M	SZ	0.00
amoxicillin + clavulanic acid	1891M	RW	0.00
amoxicillin + clavulanic acid	1891M	AF	0.00
amoxicillin + clavulanic acid	1891M	TX	0.00
amoxicillin + clavulanic acid	1891M	TY	0.00
amoxicillin	1884E	SZ	0.00
amoxicillin	1884E	EA	0.00
amoxicillin	1884E	TX	0.00
amoxicillin	1884E	RF	0.00
amoxicillin	1884E	AF	0.00
amoxicillin	1884E	AL	0.00
naproxen	1615B	IY	0.00
cyproterone	1270W	HX	0.00
cyproterone	1270W	AS	0.00
cyproterone	1270W	TX	0.00
cyproterone	1270W	GX	0.00
cyproterone	1270W	CR	0.00
cyproterone	1270W	AL	0.00
cyproterone	1270W	RW	0.00
cyproterone	1270W	EA	0.00
levonorgestrel + ethinylestradiol	1394J	EA	0.00
levonorgestrel + ethinylestradiol	1394J	GQ	0.00
levonorgestrel + ethinylestradiol	1394J	TX	0.00
levonorgestrel + ethinylestradiol	1394J	AF	0.00
levonorgestrel + ethinylestradiol	1394J	AE	0.00
levonorgestrel + ethinylestradiol	1394J	FZ	0.00
doxycycline	1800R	TX	0.00
ketoprofen	1590Q	AV	0.00
metronidazole	1636D	AF	0.00
metronidazole	1636D	AV	0.00
omeprazole	1326T	RW	0.00
omeprazole	1326T	AF	0.00
omeprazole	1326T	HX	0.00
omeprazole	1326T	TX	0.00
omeprazole	1326T	SZ	0.00
omeprazole	1326T	CR	0.00
betamethasone dipropionate	1119X	OV	0.00
levodopa + carbidopa	1245M	RW	0.00
levodopa + carbidopa	1245M	TX	0.00
cyproterone	1269T	CR	0.00
cyproterone	1269T	AL	0.00
cyproterone	1269T	RW	0.00
cyproterone	1269T	TX	0.00
cyproterone	1269T	AS	0.00
cyproterone	1269T	EA	0.00
cyproterone	1269T	HX	0.00
cyproterone	1269T	GX	0.00
bisacodyl	1260H	PP	0.00
METOPROLOL TARTRATE	1325R	RW	0.00
METOPROLOL TARTRATE	1325R	AF	0.00
METOPROLOL TARTRATE	1325R	TX	0.00
METOPROLOL TARTRATE	1325R	SZ	0.00
METOPROLOL TARTRATE	1325R	ER	0.00
METOPROLOL TARTRATE	1325R	EA	0.00
verapamil	1241H	GT	0.00
prednisone	1934T	LN	0.00
dosulepin (dothiepin)	1357K	AL	0.00
paracetamol + codeine	1215Y	TX	0.00
paracetamol + codeine	1215Y	AL	0.00
paracetamol + codeine	1215Y	AV	0.00
paracetamol + codeine	1215Y	AF	0.00
paracetamol + codeine	1215Y	GQ	0.00
paracetamol + codeine	1215Y	SZ	0.00
fluconazole	1471K	RA	0.00
fluconazole	1471K	AF	0.00
fluconazole	1471K	SZ	0.00
captopril	1149L	SZ	0.00
amoxicillin	1886G	AF	0.00
amoxicillin	1886G	TX	0.00
amoxicillin	1886G	VO	0.00
betamethasone dipropionate	1115Q	OV	0.00
nizatidine	1504E	RF	0.00
nizatidine	1504E	AF	0.00
ipratropium	1542E	AL	0.00
ipratropium	1542E	TX	0.00
ipratropium	1542E	AF	0.00
mometasone	1913Q	AF	0.00
mometasone	1913Q	AS	0.00
diltiazem	1313D	AV	0.00
diltiazem	1313D	SZ	0.00
diltiazem	1335G	EA	0.00
diltiazem	1335G	AV	0.00
amoxicillin	1889K	VO	0.00
amoxicillin	1889K	SZ	0.00
amoxicillin	1889K	EA	0.00
amoxicillin	1889K	GQ	0.00
amoxicillin	1889K	RF	0.00
amoxicillin	1889K	AL	0.00
amoxicillin	1889K	TX	0.00
amoxicillin	1889K	AF	0.00
omeprazole	1327W	RW	0.00
omeprazole	1327W	SZ	0.00
omeprazole	1327W	AF	0.00
omeprazole	1327W	HX	0.00
omeprazole	1327W	CR	0.00
omeprazole	1327W	TX	0.00
roxithromycin	1760P	ED	0.00
roxithromycin	1760P	SZ	0.00
roxithromycin	1760P	EA	0.00
roxithromycin	1760P	AV	0.00
roxithromycin	1760P	TX	0.00
roxithromycin	1760P	RW	0.00
roxithromycin	1760P	AF	0.00
naproxen	1614Y	IY	0.00
fluoxetine	1434L	AF	0.00
fluoxetine	1434L	AL	0.00
fluoxetine	1434L	IB	0.00
fluoxetine	1434L	SZ	0.00
fluoxetine	1434L	GQ	0.00
fluoxetine	1434L	TX	0.00
fluoxetine	1434L	RF	0.00
fluoxetine	1434L	ED	0.00
fluoxetine	1434L	TY	0.00
fluoxetine	1434L	EA	0.00
fluoxetine	1434L	RW	0.00
fluoxetine	1434L	JB	0.00
levonorgestrel + ethinylestradiol	1392G	FZ	0.00
levonorgestrel + ethinylestradiol	1392G	SY	0.00
metronidazole	1621H	AV	0.00
metronidazole	1621H	AF	0.00
piroxicam	1896T	AF	0.00
labetalol	1566K	AF	0.00
sumatriptan	1849H	TX	0.00
sumatriptan	1849H	SZ	0.00
sumatriptan	1849H	EA	0.00
sumatriptan	1849H	OW	0.00
sumatriptan	1849H	AL	0.00
sumatriptan	1849H	CR	0.00
sumatriptan	1849H	GQ	0.00
captopril	1148K	SZ	0.00
metoclopramide	1207M	TX	0.00
metoclopramide	1207M	EA	0.00
metoclopramide	1207M	RW	0.00
metoclopramide	1207M	AF	0.00
ciprofloxacin	1217C	NM	0.00
enalapril	1369C	GQ	0.00
enalapril	1369C	ED	0.00
enalapril	1369C	AL	0.00
enalapril	1369C	SZ	0.00
enalapril	1369C	RW	0.00
enalapril	1369C	TX	0.00
verapamil	1250T	AF	0.00
isosorbide mononitrate	1558B	TX	0.00
isosorbide mononitrate	1558B	RF	0.00
isosorbide mononitrate	1558B	SZ	0.00
isosorbide mononitrate	1558B	EA	0.00
isosorbide mononitrate	1558B	AF	0.00
isosorbide mononitrate	1558B	GX	0.00
clonazepam	1805B	AF	0.00
METOPROLOL TARTRATE	1324Q	SZ	0.00
METOPROLOL TARTRATE	1324Q	TX	0.00
METOPROLOL TARTRATE	1324Q	EA	0.00
METOPROLOL TARTRATE	1324Q	AF	0.00
METOPROLOL TARTRATE	1324Q	RW	0.00
METOPROLOL TARTRATE	1324Q	ER	0.00
hydrocortisone	1499X	AL	0.00
clomipramine	1561E	TX	0.00
clomipramine	1561E	AF	0.00
clomipramine	1561E	GX	0.00
digoxin	1322N	LN	0.00
piroxicam	1898X	TX	0.00
piroxicam	1898X	AF	0.00
methylprednisolone	1928L	FZ	0.00
carbamazepine	1724R	SZ	0.00
piroxicam	1897W	AF	0.00
piroxicam	1897W	TX	0.00
dosulepin (dothiepin)	1358L	AL	0.00
metformin	1801T	TW	0.00
metformin	1801T	RF	0.00
metformin	1801T	EA	0.00
metformin	1801T	DO	0.00
metformin	1801T	TX	0.00
metformin	1801T	CH	0.00
metformin	1801T	TY	0.00
metformin	1801T	SZ	0.00
metformin	1801T	AF	0.00
hydrocortisone	1500Y	AL	0.00
moclobemide	1900B	EA	0.00
moclobemide	1900B	ED	0.00
moclobemide	1900B	HX	0.00
moclobemide	1900B	SZ	0.00
moclobemide	1900B	AF	0.00
moclobemide	1900B	TX	0.00
naproxen	1795L	IY	0.00
furosemide (frusemide)	1810G	TY	0.00
furosemide (frusemide)	1810G	RW	0.00
dextran-70 + hypromellose	1509K	IQ	0.00
carbamazepine	1706T	SZ	0.00
diclofenac	1300K	ED	0.00
diclofenac	1300K	TX	0.00
diclofenac	1300K	AF	0.00
diclofenac	1300K	SZ	0.00
diclofenac	1300K	EA	0.00
diclofenac	1300K	RW	0.00
enalapril	1368B	TX	0.00
enalapril	1368B	SZ	0.00
enalapril	1368B	RW	0.00
enalapril	1368B	ED	0.00
enalapril	1368B	AL	0.00
enalapril	1368B	GQ	0.00
atenolol	1081X	RW	0.00
atenolol	1081X	GQ	0.00
atenolol	1081X	DO	0.00
atenolol	1081X	AF	0.00
atenolol	1081X	TX	0.00
atenolol	1081X	SZ	0.00
atenolol	1081X	EF	0.00
atenolol	1081X	ED	0.00
paraffin	1750D	PE	0.00
diltiazem	1312C	SZ	0.00
diltiazem	1312C	AV	0.00
levodopa + carbidopa	1242J	RW	0.00
levodopa + carbidopa	1242J	AF	0.00
levodopa + carbidopa	1242J	TX	0.00
cefaclor	1169M	TX	0.00
cefaclor	1169M	MQ	0.00
cefaclor	1169M	AF	0.00
cefaclor	1169M	GQ	0.00
amoxicillin	1887H	SZ	0.00
amoxicillin	1887H	AF	0.00
