code	text
6158	Authorities for increased maximum quantities and/or repeats for the oral forms of diazepam will be granted only for (i) the treatment of disabling spasticity; or(ii) malignant neoplasia (late stage); or(iii) use by patients who are receiving long-term nursing care on account of age, infirmity or other condition in hospitals, nursing homes or residential facilities and who have been demonstrated, within the past six months, to be benzodiazepine dependent by an unsuccessful attempt at gradual withdrawal; or(iv) use by a patient who is receiving long-term nursing care and in respect of whom a Carer Allowance is payable as a disabled adult and who has been demonstrated, within the past six months, to be benzodiazepine dependent by an unsuccessful attempt at gradual withdrawal. Up to six months' treatment (i.e. one month's treatment with five repeats) may be requested.
6523	For immunisation of adults and children aged greater than or equal to 8 years.
6671	Any queries concerning the arrangements to prescribe infliximab may be directed to the Veterans' Affairs Pharmaceutical Advisory Centre (VAPAC) on 1800 552 580. Written applications for authority to prescribe infliximab should be forwarded to: Reply Paid 9998 Veterans' Affairs Pharmaceutical Advisory Centre (VAPAC) Department of Veterans' Affairs GPO Box 9998 BRISBANE QLD 4001
6810	Continuing Therapy Only: For prescribing by nurse practitioners as continuing therapy only, where the treatment of, and prescribing of medicine for, a patient has been initiated by a medical practitioner.  Further information can be found in the Explanatory Notes for Nurse Practitioners.
6853	For item codes 5886T and 1904F, pharmaceutical benefits that have the form injection equivalent to 100 mg folinic acid in 10 mL are equivalent for the purposes of substitution.
7604	Patients who have developed intolerance to sunitinib of a severity necessitating permanent treatment withdrawal are eligible to receive PBS-subsidised pazopanib.
7605	Patients who have progressive disease with pazopanib are no longer eligible for PBS-subsidised pazopanib.
7606	No increase in the maximum quantity or number of units may be authorised.
7607	No increase in the maximum number of repeats may be authorised.
7608	Special Pricing Arrangements apply.
7614	Response Evaluation Criteria In Solid Tumours (RECIST) is defined as follows:Complete response (CR) is disappearance of all target lesions.Partial response (PR) is a 30% decrease in the sum of the longest diameter of target lesions.Progressive disease (PD) is a 20% increase in the sum of the longest diameter of target lesions.Stable disease (SD) is small changes that do not meet above criteria.
7620	Patients who have developed intolerance to pazopanib of a severity necessitating permanent treatment withdrawal are eligible to receive PBS-subsidised sunitinib.
7621	Patients who have progressive disease with sunitinib are no longer eligible for PBS-subsidised sunitinib.
